id,leaf_day(15),flo_day,budburst(9),Leaf_expand(11),GEN.SPA,Force,Light,Chill
BETALL25 HF DB_WS0_9,50,NA,37,40,BET.ALL,W,L,0
COMPER 3 HF DB_WS0_9,NA,NA,NA,NA,COM.PER,W,L,0
VIBACE 7 HF DB_WS0_9,50,NA,35,37,VIB.ACE,W,L,0
ACESAC12 HF DB_WS0_8,NA,NA,NA,NA,ACE.SAC,W,L,0
ILEVER01 HF DB_WS0_8,28,NA,23,26,ILE.VER,W,L,0
VACCOR 5 HF DB_WS0_8,37,NA,30,35,VAC.COR,W,L,0
ACEPEN24 HF DB_WS0_7,90,NA,87,90,ACE.PEN,W,L,0
ACESAC18 HF DB_WS0_7,NA,NA,NA,NA,ACE.SAC,W,L,0
PRUVIR 5 HF DB_WS0_7,56,NA,37,42,PRU.VIR,W,L,0
CORCOR 17 HF DB_WS0_6,93,63,58,58,COR.COR,W,L,0
ILEVER05 HF DB_WS0_6,NA,NA,NA,NA,ILE.VER,W,L,0
PRUPEN 24 HF DB_WS0_6,23,30,16,19,PRU.PEN,W,L,0
BETALL25 HF DB_WS0_5,76,NA,63,65,BET.ALL,W,L,0
ILEMUC 9 HF DB_WS0_5,50,NA,37,42,ILE.MUC,W,L,0
VIBACE09 HF DB_WS0_5,54,NA,33,45,VIB.ACE,W,L,0
BETALL25 HF DB_WS0_4,61,NA,58,58,BET.ALL,W,L,0
CORCOR 16 HF DB_WS0_4,61,NA,50,52,COR.COR,W,L,0
ILEVER07 HF DB_WS0_4,35,NA,28,33,ILE.VER,W,L,0
ACEPEN15 HF DB_WS0_3,70,NA,45,68,ACE.PEN,W,L,0
ACERUB26 HF DB_WS0_3,NA,NA,NA,NA,ACE.RUB,W,L,0
ILEMUC 13 HF DB_WS0_3,NA,NA,NA,NA,ILE.MUC,W,L,0
BETALL33 HF DB_WS0_24,79,NA,76,76,BET.ALL,W,L,0
ILEVER03 HF DB_WS0_24,42,NA,28,33,ILE.VER,W,L,0
VACCOR 89 HF DB_WS0_24,54,23,16,50,VAC.COR,W,L,0
ACERUB23 HF DB_WS0_23,NA,NA,NA,NA,ACE.RUB,W,L,0
ILEVER ? HF DB_WS0_23,26,NA,19,23,ILE.VER,W,L,0
VACCOR 3 HF DB_WS0_23,NA,NA,NA,NA,VAC.COR,W,L,0
ACEPEN15 HF DB_WS0_22,65,NA,54,63,ACE.PEN,W,L,0
ILEVER03 HF DB_WS0_22,NA,NA,19,30,ILE.VER,W,L,0
PRUPEN 22 HF DB_WS0_22,26,33,19,21,PRU.PEN,W,L,0
ACESAC13 HF DB_WS0_21,70,NA,68,68,ACE.SAC,W,L,0
COMPER 6 HF DB_WS0_21,47,21,30,40,COM.PER,W,L,0
PRUVIR 4 HF DB_WS0_21,NA,NA,NA,NA,PRU.VIR,W,L,0
ILEMUC 9 HF DB_WS0_20,45,NA,37,42,ILE.MUC,W,L,0
PRUPEN 22 HF DB_WS0_20,33,26,14,19,PRU.PEN,W,L,0
VIBACE10 HF DB_WS0_20,NA,NA,61,93,VIB.ACE,W,L,0
ACEPEN15 HF DB_WS0_2,54,NA,45,52,ACE.PEN,W,L,0
COMPER 8 HF DB_WS0_2,NA,NA,NA,NA,COM.PER,W,L,0
PRUVIR 6 HF DB_WS0_2,45,50,26,40,PRU.VIR,W,L,0
CORCOR16 HF_WS0_19,NA,73,104,107,COR.COR,W,L,0
PRUPEN 23 HF DB_WS0_19,NA,NA,NA,NA,PRU.PEN,W,L,0
PRUVIR 6 HF DB_WS0_19,NA,NA,93,107,PRU.VIR,W,L,0
ACESAC18 HF DB_WS0_18,NA,NA,NA,NA,ACE.SAC,W,L,0
ILEMUC 10 HF DB_WS0_18,33,33,23,30,ILE.MUC,W,L,0
VIBACE02 HF DB_WS0_18,NA,NA,42,110,VIB.ACE,W,L,0
ACEPEN19 HF DB_WS0_17,65,NA,56,63,ACE.PEN,W,L,0
ACERUB25 HF DB_WS0_17,NA,NA,NA,NA,ACE.RUB,W,L,0
PRUPEN 24 HF DB_WS0_17,21,NA,16,19,PRU.PEN,W,L,0
COMPER 3 HF DB_WS0_16,NA,NA,NA,NA,COM.PER,W,L,0
VACCOR 2 HF DB_WS0_16,28,NA,19,21,VAC.COR,W,L,0
VIBACE02 HF DB_WS0_16,NA,NA,NA,NA,VIB.ACE,W,L,0
ACERUB26 HF DB_WS0_15,NA,NA,NA,NA,ACE.RUB,W,L,0
COMPER 8 HF DB_WS0_15,NA,NA,NA,NA,COM.PER,W,L,0
PRUVIR 6 HF DB_WS0_15,82,96,79,79,PRU.VIR,W,L,0
ACESAC13 HF DB_WS0_14,NA,NA,NA,NA,ACE.SAC,W,L,0
PRUVIR 4 HF DB_WS0_14,56,NA,45,45,PRU.VIR,W,L,0
VACCOR 1 HF DB_WS0_14,37,26,30,35,VAC.COR,W,L,0
ACESAC18 HF DB_WS0_13,NA,NA,NA,NA,ACE.SAC,W,L,0
BETALL25 HF DB_WS0_13,63,NA,35,37,BET.ALL,W,L,0
CORCOR07_HF_WS0_13,NA,NA,90,NA,COR.COR,W,L,0
ACERUB23 HF DB_WS0_12,NA,NA,NA,NA,ACE.RUB,W,L,0
BETALL33 HF DB_WS0_12,79,NA,68,68,BET.ALL,W,L,0
PRUPEN 24 HF DB_WS0_12,21,28,16,19,PRU.PEN,W,L,0
COMPER 6 HF DB_WS0_11,NA,NA,NA,NA,COM.PER,W,L,0
CORCOR14 HF DB_WS0_11,76,NA,63,68,COR.COR,W,L,0
ILEMUC 10 HF DB_WS0_11,33,33,33,33,ILE.MUC,W,L,0
ACEPEN14 HF DB_WS0_10,76,NA,68,73,ACE.PEN,W,L,0
ILEMUC 12 HF DB_WS0_10,63,63,50,63,ILE.MUC,W,L,0
VIBACE07 HF DB_WS0_10,NA,NA,NA,NA,VIB.ACE,W,L,0
ACERUB29 HF DB_WS0_1,NA,NA,NA,NA,ACE.RUB,W,L,0
CORCOR08_HF_WS0_1,NA,NA,73,79,COR.COR,W,L,0
VACCOR 11 HF DB_WS0_1,26,21,16,19,VAC.COR,W,L,0
ACERUB22 HF DB_WL0_9,NA,NA,NA,NA,ACE.RUB,W,S,0
BETALL25 HF DB_WL0_9,61,NA,52,52,BET.ALL,W,S,0
ILEMUC 13 HF DB_WL0_9,NA,NA,NA,NA,ILE.MUC,W,S,0
ACERUB25 HF DB_WL0_8,NA,NA,NA,NA,ACE.RUB,W,S,0
CORCOR06 HF_WL0_8,NA,NA,NA,NA,COR.COR,W,S,0
ILEMUC 9 HF DB_WL0_8,NA,NA,90,NA,ILE.MUC,W,S,0
PRUPEN 23 HF DB_WL0_7,54,NA,37,45,PRU.PEN,W,S,0
PRUVIR 5 HF DB_WL0_7,21,NA,19,19,PRU.VIR,W,S,0
VIBACE04 HF DB_WL0_7,NA,NA,45,NA,VIB.ACE,W,S,0
PRUVIR 7 HF DB_WL0_6,NA,NA,NA,NA,AME.SPP,W,S,0
VACCOR 1 HF DB_WL0_6,54,26,16,47,VAC.COR,W,S,0
VIBACE02 HF DB_WL0_6,NA,NA,NA,NA,VIB.ACE,W,S,0
ACESAC12 HF DB_WL0_5,NA,NA,NA,NA,ACE.SAC,W,S,0
BETALL26 HF DB_WL0_5,63,NA,47,58,BET.ALL,W,S,0
ILEMUC 13 HF DB_WL0_5,NA,NA,NA,NA,ILE.MUC,W,S,0
CORCOR 16 HF DB_WL0_4,NA,NA,NA,NA,COR.COR,W,S,0
ILEVER01 HF DB_WL0_4,37,NA,26,30,ILE.VER,W,S,0
VIBACE HF9 DB_WL0_4,NA,NA,NA,NA,VIB.ACE,W,S,0
COMPER 8 HF DB_WL0_3,40,NA,16,21,COM.PER,W,S,0
ILEVER08 HF DB_WL0_3,45,NA,40,42,ILE.VER,W,S,0
VIBACE08 HF DB_WL0_3,NA,NA,NA,NA,VIB.ACE,W,S,0
CORCOR 16 HF DB_WL0_24,NA,NA,NA,NA,COR.COR,W,S,0
ILEVER01 HF DB_WL0_24,37,NA,23,26,ILE.VER,W,S,0
PRUVIR 4 HF DB_WL0_24,NA,NA,NA,NA,PRU.VIR,W,S,0
CORCOR 16 HF DB_WL0_23,NA,NA,NA,NA,COR.COR,W,S,0
PRUPEN 26 HF DB_WL0_23,42,NA,16,21,PRU.PEN,W,S,0
VACCOR 6 HF DB_WL0_23,NA,NA,NA,NA,VAC.COR,W,S,0
ACEPEN14 HF DB_WL0_22,NA,NA,93,NA,ACE.PEN,W,S,0
ACESAC13 HF DB_WL0_22,NA,NA,NA,NA,ACE.SAC,W,S,0
COMPER ? HF DB_WL0_22,NA,NA,NA,NA,COM.PER,W,S,0
ACEPEN17 HF DB_WL0_21,98,NA,98,98,ACE.PEN,W,S,0
ACESAC16 HF DB_WL0_21,NA,NA,NA,NA,ACE.SAC,W,S,0
ILEMUC 11 HF DB_WL0_21,NA,NA,NA,NA,ILE.MUC,W,S,0
ACEPEN15 HF DB_WL0_20,NA,NA,112,112,ACE.PEN,W,S,0
ACERUB25 HF DB_WL0_20,NA,NA,NA,NA,ACE.RUB,W,S,0
PRUPEN 21 HF DB_WL0_20,52,NA,37,40,BET.SPP,W,S,0
ACEPEN17 HF DB_WL0_2,NA,NA,NA,NA,ACE.PEN,W,S,0
PRUPEN 23 HF DB_WL0_2,NA,NA,26,40,PRU.PEN,W,S,0
PRUVIR 6 HF DB_WL0_2,NA,NA,NA,NA,PRU.VIR,W,S,0
ACESAC17 HF DB_WL0_19,NA,NA,NA,NA,ACE.SAC,W,S,0
ILEMUC 10 HF DB_WL0_19,NA,NA,NA,NA,ILE.MUC,W,S,0
PRUVIR 3 HF DB_WL0_19,NA,NA,NA,NA,PRU.VIR,W,S,0
ACERUB25 HF DB_WL0_18,NA,NA,NA,NA,ACE.RUB,W,S,0
BETALL32 HF DB_WL0_18,54,NA,42,45,BET.ALL,W,S,0
VACCOR 7 HF DB_WL0_18,54,21,42,50,VAC.COR,W,S,0
ACERUB22 HF DB_WL0_17,NA,NA,NA,NA,ACE.RUB,W,S,0
ILEMUC 10 HF DB_WL0_17,NA,NA,NA,NA,ILE.MUC,W,S,0
VIBACE5 HF DB_WL0_17,NA,NA,84,NA,VIB.ACE,W,S,0
ACESAC17 HF DB_WL0_16,NA,NA,NA,NA,ACE.SAC,W,S,0
VACCOR 11 HF DB_WL0_16,30,28,19,26,VAC.COR,W,S,0
VIBACE01 HF DB_WL0_16,NA,NA,NA,NA,VIB.ACE,W,S,0
ACEPEN18 HF DB_WL0_15,104,NA,98,101,ACE.PEN,W,S,0
ACERUB23 HF DB_WL0_15,NA,NA,NA,NA,ACE.RUB,W,S,0
BETALL32 HF DB_WL0_15,73,NA,68,70,BET.ALL,W,S,0
COMPER 3 HF DB_WL0_14,NA,NA,NA,NA,COM.PER,W,S,0
ILEVER10 HF DB_WL0_14,NA,NA,NA,NA,ILE.VER,W,S,0
VACCOR 2 HF DB_WL0_14,73,NA,54,63,VAC.COR,W,S,0
COMPER 5 HF DB_WL0_13,NA,NA,NA,NA,COM.PER,W,S,0
ILEVER07 HF DB_WL0_13,42,NA,40,40,ILE.VER,W,S,0
PRUPEN 24 HF DB_WL0_13,NA,NA,33,NA,PRU.PEN,W,S,0
BETALL25 HF DB_WL0_12,90,NA,61,73,BET.ALL,W,S,0
ILEVER04 HF DB_WL0_12,NA,NA,33,33,ILE.VER,W,S,0
VACCOR 11 HF DB_WL0_12,47,26,28,42,VAC.COR,W,S,0
COMPER 5 HF DB_WL0_11,104,47,90,93,COM.PER,W,S,0
PRUPEN 23 HF DB_WL0_11,23,NA,16,21,PRU.PEN,W,S,0
PRUVIR 5 HF DB_WL0_11,56,NA,30,50,PRU.VIR,W,S,0
ACESAC18 HF DB_WL0_10,NA,NA,NA,NA,ACE.SAC,W,S,0
COMPER 6 HF DB_WL0_10,NA,NA,35,40,COM.PER,W,S,0
CORCOR 15 HF DB_WL0_10,NA,NA,NA,NA,COR.COR,W,S,0
ACEPEN18 HF DB_WL0_1,63,NA,52,58,ACE.PEN,W,S,0
BETALL32 HF DB_WL0_1,82,NA,63,73,BET.ALL,W,S,0
CORCOR 17 HF DB_WL0_1,NA,63,NA,NA,COR.COR,W,S,0
ACERUB25 HF DB_CS0_9,NA,NA,NA,NA,ACE.RUB,C,S,0
ILEVER09 HF DB1_CS0_9,NA,NA,NA,NA,ILE.VER,C,S,0
PRUPEN16 HF DB_CS0_9,NA,NA,NA,NA,PRU.PEN,C,S,0
ACERUB29 HF DB_CS0_8,NA,NA,NA,NA,ACE.RUB,C,S,0
BETALL32 HF DB_CS0_8,104,NA,87,96,BET.ALL,C,S,0
COMPER 6 HF DB_CS0_8,NA,NA,NA,NA,COM.PER,C,S,0
BETALL26 HF DB_CS0_7,82,NA,70,79,BET.ALL,C,S,0
VACCOR 7 HF DB_CS0_7,NA,NA,28,NA,VAC.COR,C,S,0
VIBACE06 HF DB_CS0_7,NA,NA,NA,NA,VIB.ACE,C,S,0
ACESAC17 HF DB_CS0_6,NA,NA,NA,NA,ACE.SAC,C,S,0
BETALL31 HF DB_CS0_6,93,NA,82,84,BET.ALL,C,S,0
VIBACE06 HF DB_CS0_6,104,NA,90,93,VIB.ACE,C,S,0
ILEVER03 HF DB_CS0_5,68,NA,56,65,ILE.VER,C,S,0
PRUPEN 24 HF DB_CS0_5,NA,NA,33,63,PRU.PEN,C,S,0
VACCOR 10 HF DB_CS0_5,79,68,14,70,VAC.COR,C,S,0
BETALL32 HF DB_CS0_4,87,NA,82,82,BET.ALL,C,S,0
COMPER 2 HF DB_CS0_4,NA,33,NA,NA,COM.PER,C,S,0
VACCOR 3 HF DB_CS0_4,NA,NA,NA,NA,VAC.COR,C,S,0
ACEPEN14 HF DB_CS0_3,NA,NA,NA,NA,ACE.PEN,C,S,0
CORCOR10_HF_CS0_3,NA,104,NA,NA,COR.COR,C,S,0
PRUVIR 5 HF DB_CS0_3,NA,NA,NA,NA,PRU.VIR,C,S,0
CORCOR14 HF DB_CS0_24,84,73,79,79,COR.COR,C,S,0
PRUPEN 23 HF DB_CS0_24,NA,NA,26,NA,PRU.PEN,C,S,0
PRUVIR 6 HF DB_CS0_24,NA,NA,NA,NA,PRU.VIR,C,S,0
CORCOR09_HF_CS0_23,NA,NA,90,107,COR.COR,C,S,0
ILEMUC 11 HF DB_CS0_23,NA,NA,NA,NA,ILE.MUC,C,S,0
VACCOR 8 HF DB_CS0_23,40,40,28,37,VAC.COR,C,S,0
COMPER 4 HF DB_CS0_22,NA,30,NA,NA,COM.PER,C,S,0
ILEMUC 14 HF DB_CS0_22,NA,NA,NA,NA,ILE.MUC,C,S,0
PRUVIR 3 HF DB_CS0_22,NA,NA,NA,NA,PRU.VIR,C,S,0
CORCOR 15_HF_CS0_21,NA,68,107,NA,COR.COR,C,S,0
ILEVER01 HF DB_CS0_21,NA,NA,NA,NA,ILE.VER,C,S,0
VIBACE09 HF DB_CS0_21,NA,NA,NA,NA,VIB.ACE,C,S,0
COMPER 8 HF DB_CS0_20,NA,NA,NA,NA,COM.PER,C,S,0
ILEVER08 HF DB_CS0_20,NA,NA,NA,NA,ILE.VER,C,S,0
PRUPEN16 HF DB_CS0_20,NA,NA,30,56,PRU.PEN,C,S,0
ACESAC11 HF DB_CS0_2,NA,NA,NA,NA,ACE.SAC,C,S,0
COMPER 5 HF DB_CS0_2,NA,NA,NA,NA,COM.PER,C,S,0
CORCOR09_HF_CS0_2,107,NA,96,101,COR.COR,C,S,0
ACEPEN16 HF DB_CS0_19,NA,NA,NA,NA,ACE.PEN,C,S,0
ACERUB25 HF DB_CS0_19,NA,NA,NA,NA,ACE.RUB,C,S,0
ILEVER08 HF DB_CS0_19,NA,NA,NA,NA,ILE.VER,C,S,0
ACEPEN20 HF DB_CS0_18,NA,NA,NA,NA,ACE.PEN,C,S,0
ACERUB23 HF DB_CS0_18,NA,NA,NA,NA,ACE.RUB,C,S,0
ACESAC17 HF DB_CS0_18,NA,NA,NA,NA,ACE.SAC,C,S,0
ILEMUC 9 HF DB_CS0_17,NA,NA,NA,NA,ILE.MUC,C,S,0
PRUPEN 24 HF DB_CS0_17,NA,NA,NA,NA,PRU.PEN,C,S,0
VIBACE07 HF DB_CS0_17,87,NA,19,82,VIB.ACE,C,S,0
ACERUB28 HF DB_CS0_16,NA,NA,NA,NA,ACE.RUB,C,S,0
ACESAC19 HF DB_CS0_16,NA,NA,NA,NA,ACE.SAC,C,S,0
VIBACE11 HF DB_CS0_16,104,NA,93,98,VIB.ACE,C,S,0
ACEPEN16 HF DB_CS0_15,NA,NA,NA,NA,ACE.PEN,C,S,0
ACERUB23 HF DB_CS0_15,NA,NA,NA,NA,ACE.RUB,C,S,0
ILEVER01 HF DB_CS0_15,68,NA,56,61,ILE.VER,C,S,0
BETALL31 HF DB_CS0_14,101,NA,82,96,BET.ALL,C,S,0
ILEMUC 9 HF DB_CS0_14,NA,NA,NA,NA,ILE.MUC,C,S,0
PRUPEN 23 HF DB_CS0_14,NA,NA,NA,NA,PRU.PEN,C,S,0
BETALL31 HF DB_CS0_13,96,NA,87,96,BET.ALL,C,S,0
COMPER 6 HF DB_CS0_13,NA,NA,NA,NA,COM.PER,C,S,0
ILEMUC 10 HF DB_CS0_13,NA,NA,NA,NA,ILE.MUC,C,S,0
ILEMUC 12 HF DB_CS0_12,NA,NA,NA,NA,ILE.MUC,C,S,0
PRUVIR 3 HF DB_CS0_12,NA,NA,NA,NA,PRU.VIR,C,S,0
VACCOR 3 HF DB_CS0_12,NA,NA,NA,NA,VAC.COR,C,S,0
ACESAC17 HF DB_CS0_11,NA,NA,NA,NA,ACE.SAC,C,S,0
VACCOR 3 HF DB_CS0_11,NA,NA,NA,NA,VAC.COR,C,S,0
VIBACE4 HF DB_CS0_11,NA,NA,NA,NA,VIB.ACE,C,S,0
ACEPEN14 HF DB_CS0_10,NA,NA,NA,NA,ACE.PEN,C,S,0
ACESAC11 HF DB_CS0_10,NA,NA,NA,NA,ACE.SAC,C,S,0
PRUVIR 7 HF DB_CS0_10,NA,NA,NA,NA,AME.SPP,C,S,0
ACEPEN20 HF DB_CS0_1,NA,NA,NA,NA,ACE.PEN,C,S,0
CORCOR06 HF_CS0_1,NA,NA,NA,NA,COR.COR,C,S,0
PRUVIR 2 HF DB_CS0_1,NA,NA,NA,NA,PRU.VIR,C,S,0
BETALL32 HF DB_CL0_9,82,NA,76,76,BET.ALL,C,L,0
ILEVER06 HF DB_CL0_9,NA,NA,NA,NA,ILE.VER,C,L,0
VACCOR 6 HF DB_CL0_9,NA,NA,NA,NA,VAC.COR,C,L,0
ACESAC19 HF DB_CL0_8,NA,NA,NA,NA,ACE.SAC,C,L,0
COMPER 1 HF DB_CL0_8,NA,NA,NA,NA,COM.PER,C,L,0
PRUVIR 5 HF DB_CL0_8,NA,NA,NA,NA,PRU.VIR,C,L,0
ACEPEN20 HF DB_CL0_7,107,NA,104,104,ACE.PEN,C,L,0
ACERUB25 HF DB_CL0_7,NA,NA,NA,NA,ACE.RUB,C,L,0
ACESAC11 HF DB_CL0_7,NA,NA,NA,NA,ACE.SAC,C,L,0
ACEPEN18 HF DB_CL0_6,68,93,61,63,ACE.PEN,C,L,0
ACERUB25 HF DB_CL0_6,NA,NA,NA,NA,ACE.RUB,C,L,0
ILEMUC 10 HF DB_CL0_6,110,NA,104,107,ILE.MUC,C,L,0
ACEPEN16 HF DB_CL0_5,NA,NA,NA,NA,ACE.PEN,C,L,0
ILEMUC 13 HF DB_CL0_5,76,73,70,73,ILE.MUC,C,L,0
VIBACE06 HF DB_CL0_5,NA,NA,NA,NA,VIB.ACE,C,L,0
BETALL32 HF DB_CL0_4,93,NA,82,84,BET.ALL,C,L,0
COMPER 2 HF DB_CL0_4,NA,NA,NA,NA,COM.PER,C,L,0
PRUVIR 2 HF DB_CL0_4,NA,NA,NA,NA,PRU.VIR,C,L,0
COMPER 4 HF DB_CL0_3,NA,30,NA,NA,COM.PER,C,L,0
CORCOR07_HF_CL0_3,107,NA,96,101,COR.COR,C,L,0
ILEMUC 13 HF DB_CL0_3,93,107,82,90,ILE.MUC,C,L,0
COMPER 4 HF DB_CL0_24,NA,33,NA,NA,COM.PER,C,L,0
PRUPEN17 HF DB_CL0_24,NA,NA,35,NA,PRU.PEN,C,L,0
PRUVIR 4 HF DB_CL0_24,NA,NA,NA,NA,PRU.VIR,C,L,0
ACESAC12 HF DB_CL0_23,NA,NA,NA,NA,ACE.SAC,C,L,0
PRUPEN 23 HF DB_CL0_23,NA,NA,NA,NA,PRU.PEN,C,L,0
VACCOR 11 HF DB_CL0_23,107,33,90,101,VAC.COR,C,L,0
ACEPEN19 HF DB_CL0_22,90,87,76,84,ACE.PEN,C,L,0
ACESAC18 HF DB_CL0_22,NA,NA,NA,NA,ACE.SAC,C,L,0
VIBACE06 HF DB_CL0_22,NA,NA,NA,NA,VIB.ACE,C,L,0
ILEMUC 11 HF DB_CL0_21,NA,NA,90,NA,ILE.MUC,C,L,0
PRUPEN 23 HF DB_CL0_21,NA,NA,NA,NA,PRU.PEN,C,L,0
VACCOR 3 HF DB_CL0_21,NA,93,NA,NA,VAC.COR,C,L,0
ACEPEN17 HF DB_CL0_20,NA,NA,NA,NA,ACE.PEN,C,L,0
CORCOR10_HF_CL0_20,96,52,82,90,COR.COR,C,L,0
PRUVIR 2 HF DB_CL0_20,NA,NA,NA,NA,PRU.VIR,C,L,0
BETALL33 HF DB_CL0_2,110,NA,104,107,BET.ALL,C,L,0
ILEVER04 HF DB_CL0_2,NA,NA,NA,NA,ILE.VER,C,L,0
PRUPEN 22 HF DB_CL0_2,82,NA,35,45,PRU.PEN,C,L,0
ACERUB23 HF DB_CL0_19,NA,NA,NA,NA,ACE.RUB,C,L,0
PRUVIR 6 HF DB_CL0_19,NA,NA,NA,NA,PRU.VIR,C,L,0
VACCOR 11 HF DB_CL0_19,110,45,84,101,VAC.COR,C,L,0
COMPER 6 HF DB_CL0_18,NA,NA,NA,NA,COM.PER,C,L,0
ILEMUC 12 HF DB_CL0_18,NA,NA,NA,NA,ILE.MUC,C,L,0
VIBACE10 HF DB_CL0_18,NA,NA,96,104,VIB.ACE,C,L,0
ACERUB23 HF DB_CL0_17,NA,61,NA,NA,ACE.RUB,C,L,0
BETALL31 HF DB_CL0_17,76,NA,68,70,BET.ALL,C,L,0
CORCOR 16 HF DB_CL0_17,104,82,90,98,COR.COR,C,L,0
CORCOR09_HF_CL0_16,104,NA,90,90,COR.COR,C,L,0
VACCOR 1 HF DB_CL0_16,104,40,63,101,VAC.COR,C,L,0
VIBACE01 HF DB_CL0_16,90,NA,63,82,VIB.ACE,C,L,0
BETALL34 HF DB_CL0_15,104,NA,82,93,BET.ALL,C,L,0
CORCOR07_HF_CL0_15,101,68,84,90,COR.COR,C,L,0
ILEVER04 HF DB_CL0_15,NA,NA,NA,NA,ILE.VER,C,L,0
ACERUB26 HF DB_CL0_14,NA,NA,NA,NA,ACE.RUB,C,L,0
BETALL26 HF DB_CL0_14,68,NA,58,63,BET.ALL,C,L,0
VIBACE4 HF DB_CL0_14,NA,NA,112,NA,VIB.ACE,C,L,0
PRUPEN 24 HF DB_CL0_13,NA,NA,47,52,PRU.PEN,C,L,0
PRUVIR 7 HF DB_CL0_13,NA,NA,NA,NA,AME.SPP,C,L,0
VACCOR 10 HF DB_CL0_13,50,40,30,35,VAC.COR,C,L,0
ACESAC11 HF DB_CL0_12,NA,NA,NA,NA,ACE.SAC,C,L,0
CORCOR09_HF_CL0_12,104,73,87,93,COR.COR,C,L,0
ILEVER08 HF DB_CL0_12,101,NA,93,96,ILE.VER,C,L,0
ACEPEN17 HF DB_CL0_11,NA,NA,NA,NA,ACE.PEN,C,L,0
ACESAC11 HF DB_CL0_11,NA,NA,NA,NA,ACE.SAC,C,L,0
ILEVER05 HF DB_CL0_11,101,NA,96,98,ILE.VER,C,L,0
ILEMUC 12 HF DB_CL0_10,96,96,93,93,ILE.MUC,C,L,0
ILEVER07 HF DB_CL0_10,52,NA,47,50,ILE.VER,C,L,0
VIBACE06 HF DB_CL0_10,NA,NA,NA,NA,VIB.ACE,C,L,0
ACERUB27 HF DB_CL0_1,NA,NA,NA,NA,ACE.RUB,C,L,0
